date,ticker,name,isin,is_fund,type,quantity,amount_nok,fees_nok,native_price,native_currency,account,realized_gain_nok
2024-05-08,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,55.9656,7000.0,0.0,125.0768,NOK,Fondskonto,
2024-05-21,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0922,2000.0,0.0,21695.0711,NOK,ASK,
2024-05-21,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,31.5572,6000.0,0.0,190.131,NOK,ASK,
2024-05-22,CP,Canadian Pacific Kansas City,CA13646K1084,False,BUY,4.0,3507.58,49.0,80.7,USD,Aksje og fondskonto,
2024-05-23,V,Visa,US92826C8394,False,BUY,1.0,2985.13,49.0,274.7,USD,Aksje og fondskonto,
2024-05-24,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,15.8589,1990.0,0.0,125.4815,NOK,Fondskonto,
2024-05-24,NO0010710452,Fondsfinans High Yield A,NO0010710452,True,BUY,0.0903,1000.0,0.0,11073.5956,NOK,Fondskonto,
2024-05-27,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0458,1000.0,0.0,21831.6536,NOK,ASK,
2024-05-29,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,6.6434,1280.0,0.0,192.6719,NOK,ASK,
2024-05-29,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,16.8927,3000.0,0.0,177.591,NOK,ASK,
2024-05-31,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,56.5608,10000.0,0.0,176.801,NOK,ASK,
2024-06-04,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,SELL,0.7559,2274.88,0.0,3009.4958,NOK,ASK,274.88
2024-06-05,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,11.0458,2000.0,0.0,181.064,NOK,ASK,
2024-06-05,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,25.5323,5000.0,0.0,195.8299,NOK,ASK,
2024-06-05,NO0013168773,Fondsfinans High Yield B,NO0013168773,True,BUY,0.9519,10458.22,0.0,,NOK,Fondskonto,
2024-06-05,NO0010710452,Fondsfinans High Yield A,NO0010710452,True,SELL,0.952,10458.22,0.0,,NOK,Fondskonto,0.0
2024-06-07,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0459,1000.0,0.0,21782.3108,NOK,ASK,
2024-06-07,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,5.6326,1000.0,0.0,177.539,NOK,ASK,
2024-06-11,VAR.OL,Vår Energi,NO0011202772,False,BUY,80.0,2803.4,4.2,34.99,NOK,ASK,
2024-06-14,VAR.OL,Vår Energi,NO0011202772,False,BUY,65.0,2213.32,3.32,34.0,NOK,ASK,
2024-06-18,KOG.OL,KONGSBERG GRUPPEN,NO0003043309,False,BUY,5.0,4371.55,6.55,873.0,NOK,ASK,
2024-06-19,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,4.0754,700.0,0.0,171.762,NOK,ASK,
2024-06-19,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,23.288,4000.0,0.0,171.762,NOK,ASK,
2024-06-21,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,13.6882,2500.0,0.0,182.639,NOK,ASK,
2024-06-25,MOWI.OL,Mowi,NO0003054108,False,BUY,10.0,1829.74,2.74,182.7,NOK,ASK,
2024-06-27,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,38.739,8000.0,0.0,206.51,NOK,ASK,
2024-06-27,MOWI.OL,Mowi,NO0003054108,False,BUY,5.0,891.34,1.34,178.0,NOK,ASK,
2024-07-01,V,Visa,US92826C8394,False,BUY,2.0,5641.76,49.0,261.91,USD,Aksje og fondskonto,
2024-07-11,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,70.0754,15000.0,0.0,214.055,NOK,ASK,
2024-07-16,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,36.183,7000.0,0.0,193.461,NOK,ASK,
2024-07-23,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,15.5052,3000.0,0.0,193.483,NOK,ASK,
2024-07-23,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,9.3126,2000.0,0.0,214.763,NOK,ASK,
2024-07-25,VAR.OL,Vår Energi,NO0011202772,False,BUY,15.0,526.0,1.0,35.0,NOK,ASK,
2024-07-25,EPR.OL,Europris,NO0010735343,False,BUY,7.0,454.6,1.0,64.8,NOK,ASK,
2024-08-01,MC.PA,Lvmh Moet Hennessy Louis Vuitton SE,FR0000121014,False,BUY,1.0,7620.06,71.65,640.0,EUR,Aksje og fondskonto,
2024-08-02,AMZN,Amazon.com,US0231351067,False,BUY,5.0,9076.84,49.0,164.41,USD,Aksje og fondskonto,
2024-08-02,VAR.OL,Vår Energi,NO0011202772,False,BUY,70.0,2369.55,3.55,33.8,NOK,ASK,
2024-08-06,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,83.4474,15000.0,0.0,179.754,NOK,ASK,
2024-08-06,V,Visa,US92826C8394,False,BUY,2.0,5711.8,49.0,256.5,USD,Aksje og fondskonto,
2024-08-06,VAR.OL,Vår Energi,NO0011202772,False,BUY,15.0,490.0,1.0,32.6,NOK,ASK,
2024-08-07,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,1.0,1367.08,2.05,863.5,DKK,ASK,
2024-08-08,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,25.9259,5000.0,0.0,192.857,NOK,ASK,
2024-08-28,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,75.4737,14000.0,0.0,185.495,NOK,ASK,
2024-08-29,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,11.2493,2000.0,0.0,177.789,NOK,ASK,
2024-09-06,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,10.5259,2000.0,0.0,190.007,NOK,ASK,
2024-09-06,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,44.0177,8000.0,0.0,181.745,NOK,ASK,
2024-09-09,GOOGL,Alphabet A,US02079K3059,False,BUY,2.0,3290.28,49.0,149.0,USD,Aksje og fondskonto,
2024-09-09,AKRBP.OL,Aker BP,NO0010345853,False,BUY,7.0,1612.42,2.42,230.0,NOK,ASK,
